source,ea_id,rank,player_name,first_name,last_name,common_name,gender,nationality,team,league,position,position_label,overall,pac,sho,pas,dri,def,phy,height_cm,weight_kg,birthdate,skill_moves,weak_foot,preferred_foot_id
EA,209331,1,Mohamed Salah,Mohamed,Salah,,Men's Football,Egypt,Liverpool,Premier League,RM,Right Midfielder,91,89,88,86,90,45,76,175,72,6/15/1992 12:00:00 AM,4,3,2
EA,231747,3,Kylian Mbappé,Kylian,Mbappé,,Men's Football,France,Real Madrid,LALIGA EA SPORTS,ST,Striker,91,97,90,81,92,37,76,182,75,12/20/1998 12:00:00 AM,5,4,1
EA,231443,5,Ousmane Dembélé,Ousmane,Dembélé,,Men's Football,France,Paris SG,Ligue 1 McDonald's,ST,Striker,90,91,88,83,93,50,69,178,67,5/15/1997 12:00:00 AM,5,5,2
EA,231866,6,Rodri,Rodrigo,Hernández Cascante,Rodri,Men's Football,Spain,Manchester City,Premier League,CDM,Center Defensive Midfielder,90,65,80,86,84,86,85,190,82,6/22/1996 12:00:00 AM,3,4,1
EA,203376,8,Virgil van Dijk,Virgil,van Dijk,,Men's Football,Holland,Liverpool,Premier League,CB,Center Back,90,73,60,72,72,90,87,193,92,7/8/1991 12:00:00 AM,2,3,1
EA,252371,9,Jude Bellingham,Jude,Bellingham,,Men's Football,England,Real Madrid,LALIGA EA SPORTS,CAM,Center Attacking Midfielder,90,80,86,83,90,78,85,186,75,6/29/2003 12:00:00 AM,4,4,1
EA,239085,10,Erling Haaland,Erling,Haaland,,Men's Football,Norway,Manchester City,Premier League,ST,Striker,90,86,91,70,80,45,88,195,94,7/21/2000 12:00:00 AM,3,3,2
EA,233419,11,Raphinha,Raphael,Dias Belloli,Raphinha,Men's Football,Brazil,FC Barcelona,LALIGA EA SPORTS,LM,Left Midfielder,89,91,84,85,87,53,75,176,68,12/14/1996 12:00:00 AM,4,4,2
EA,235212,12,Achraf Hakimi,Achraf,Hakimi,,Men's Football,Morocco,Paris SG,Ligue 1 McDonald's,RB,Right Back,89,92,79,82,83,82,79,181,73,11/4/1998 12:00:00 AM,4,4,1
EA,277643,14,Lamine Yamal,Lamine Yamal,Nasraoui Ebana,Lamine Yamal,Men's Football,Spain,FC Barcelona,LALIGA EA SPORTS,RM,Right Midfielder,89,85,81,86,90,23,53,180,72,7/13/2007 12:00:00 AM,5,3,2
EA,255253,15,Vitinha,Vítor,Machado Ferreira,Vitinha,Men's Football,Portugal,Paris SG,Ligue 1 McDonald's,CM,Center Midfielder,89,72,80,86,90,75,70,172,64,2/13/2000 12:00:00 AM,4,3,1
EA,230621,18,Gianluigi Donnarumma,Gianluigi,Donnarumma,,Men's Football,Italy,Manchester City,Premier League,GK,Goalkeeper,89,90,83,70,90,52,87,196,90,2/25/1999 12:00:00 AM,1,3,1
EA,251854,19,Pedri,Pedro,González López,Pedri,Men's Football,Spain,FC Barcelona,LALIGA EA SPORTS,CM,Center Midfielder,89,77,73,85,91,78,77,174,60,11/25/2002 12:00:00 AM,4,4,1
EA,212622,20,Joshua Kimmich,Joshua,Kimmich,,Men's Football,Germany,FC Bayern München,Bundesliga,CDM,Center Defensive Midfielder,89,72,74,89,84,83,79,177,75,2/8/1995 12:00:00 AM,3,4,1
EA,212831,22,Alisson,Alisson,Ramses Becker,Alisson,Men's Football,Brazil,Liverpool,Premier League,GK,Goalkeeper,89,86,85,86,89,56,90,193,91,10/2/1992 12:00:00 AM,1,3,1
EA,202126,23,Harry Kane,Harry,Kane,,Men's Football,England,FC Bayern München,Bundesliga,ST,Striker,89,64,92,83,82,48,82,188,86,7/28/1993 12:00:00 AM,3,4,1
EA,239053,24,Federico Valverde,Federico,Valverde,,Men's Football,Uruguay,Real Madrid,LALIGA EA SPORTS,CM,Center Midfielder,89,88,84,84,84,83,85,182,74,7/22/1998 12:00:00 AM,3,4,1
EA,238794,26,Vini Jr.,Vinícius José,de Oliveira Júnior,Vini Jr.,Men's Football,Brazil,Real Madrid,LALIGA EA SPORTS,LW,Left Wing,89,95,84,81,91,29,69,176,73,7/12/2000 12:00:00 AM,5,4,1
EA,256630,27,Florian Wirtz,Florian,Wirtz,,Men's Football,Germany,Liverpool,Premier League,CAM,Center Attacking Midfielder,89,80,82,88,90,54,67,177,71,5/3/2003 12:00:00 AM,4,4,1
EA,192119,28,Thibaut Courtois,Thibaut,Courtois,,Men's Football,Belgium,Real Madrid,LALIGA EA SPORTS,GK,Goalkeeper,89,85,89,76,90,46,88,200,96,5/11/1992 12:00:00 AM,1,3,2
EA,188545,30,Robert Lewandowski,Robert,Lewandowski,,Men's Football,Poland,FC Barcelona,LALIGA EA SPORTS,ST,Striker,88,74,89,79,85,44,84,185,81,8/21/1988 12:00:00 AM,4,4,1
EA,231478,34,Lautaro Martínez,Lautaro,Martínez,,Men's Football,Argentina,Lombardia FC,Serie A Enilive,ST,Striker,88,81,88,75,84,51,83,174,72,8/22/1997 12:00:00 AM,4,4,1
EA,233731,35,Alexander Isak,Alexander,Isak,,Men's Football,Sweden,Liverpool,Premier League,ST,Striker,88,83,89,73,85,39,76,192,77,9/21/1999 12:00:00 AM,4,4,1
EA,256790,37,Jamal Musiala,Jamal,Musiala,,Men's Football,Germany,FC Bayern München,Bundesliga,CAM,Center Attacking Midfielder,88,80,82,80,90,66,65,184,72,2/26/2003 12:00:00 AM,5,4,1
EA,232580,38,Gabriel,Gabriel,dos S. Magalhães,Gabriel,Men's Football,Brazil,Arsenal,Premier League,CB,Center Back,88,64,44,64,65,88,84,190,87,12/19/1997 12:00:00 AM,2,2,2
EA,246669,41,Bukayo Saka,Bukayo,Saka,,Men's Football,England,Arsenal,Premier League,RW,Right Wing,88,84,82,85,88,60,73,178,65,9/5/2001 12:00:00 AM,3,4,2
EA,200389,43,Jan Oblak,Jan,Oblak,,Men's Football,Slovenia,Atlético de Madrid,LALIGA EA SPORTS,GK,Goalkeeper,88,85,90,78,87,46,86,188,87,1/7/1993 12:00:00 AM,1,3,1
EA,257534,44,Cole Palmer,Cole,Palmer,,Men's Football,England,Chelsea,Premier League,CAM,Center Attacking Midfielder,87,75,83,87,87,50,65,185,76,5/6/2002 12:00:00 AM,4,3,2
EA,247635,45,Khvicha Kvaratskhelia,Khvicha,Kvaratskhelia,,Men's Football,Georgia,Paris SG,Ligue 1 McDonald's,LW,Left Wing,87,86,80,83,88,58,78,183,70,2/12/2001 12:00:00 AM,5,5,1
EA,237383,47,Alessandro Bastoni,Alessandro,Bastoni,,Men's Football,Italy,Lombardia FC,Serie A Enilive,CB,Center Back,87,74,46,75,76,88,82,190,75,4/13/1999 12:00:00 AM,2,2,2
EA,215441,50,Serhou Guirassy,Serhou,Guirassy,,Men's Football,Guinea,Borussia Dortmund,Bundesliga,ST,Striker,87,72,88,76,83,45,83,187,82,3/12/1996 12:00:00 AM,3,4,1
EA,192985,51,Kevin De Bruyne,Kevin,De Bruyne,,Men's Football,Belgium,SSC Napoli,Serie A Enilive,CM,Center Midfielder,87,66,83,92,84,65,72,181,75,6/28/1991 12:00:00 AM,4,5,1
EA,228702,52,Frenkie de Jong,Frenkie,de Jong,,Men's Football,Holland,FC Barcelona,LALIGA EA SPORTS,CM,Center Midfielder,87,82,71,85,87,78,77,181,74,5/12/1997 12:00:00 AM,4,3,1
EA,256079,54,Moisés Caicedo,Moisés,Caicedo,,Men's Football,Ecuador,Chelsea,Premier League,CDM,Center Defensive Midfielder,87,71,64,78,81,84,82,178,73,11/2/2001 12:00:00 AM,3,3,1
EA,234378,55,Declan Rice,Declan,Rice,,Men's Football,England,Arsenal,Premier League,CDM,Center Defensive Midfielder,87,72,73,84,80,83,83,185,80,1/14/1999 12:00:00 AM,3,3,1
EA,207865,57,Marquinhos,Marcos,Aoás Corrêa,Marquinhos,Men's Football,Brazil,Paris SG,Ligue 1 McDonald's,CB,Center Back,87,78,56,75,74,89,80,183,75,5/14/1994 12:00:00 AM,3,3,1
EA,177683,58,Yann Sommer,Yann,Sommer,,Men's Football,Switzerland,Lombardia FC,Serie A Enilive,GK,Goalkeeper,87,83,82,85,89,50,87,183,77,12/17/1988 12:00:00 AM,1,4,1
EA,241486,62,Jules Koundé,Jules,Koundé,,Men's Football,France,FC Barcelona,LALIGA EA SPORTS,RB,Right Back,87,84,47,74,79,86,84,180,75,11/12/1998 12:00:00 AM,3,3,1
EA,212198,63,Bruno Fernandes,Bruno Miguel,Borges Fernandes,Bruno Fernandes,Men's Football,Portugal,Man Utd,Premier League,CAM,Center Attacking Midfielder,87,67,83,89,83,65,75,179,69,9/8/1994 12:00:00 AM,4,4,1
EA,243715,64,William Saliba,William,Saliba,,Men's Football,France,Arsenal,Premier League,CB,Center Back,87,77,39,68,72,87,83,193,85,3/24/2001 12:00:00 AM,2,3,1
EA,246191,66,Julián Alvarez,Julián,Alvarez,,Men's Football,Argentina,Atlético de Madrid,LALIGA EA SPORTS,ST,Striker,87,85,87,81,87,57,79,170,71,1/31/2000 12:00:00 AM,4,4,1
EA,213331,67,Jonathan Tah,Jonathan,Tah,,Men's Football,Germany,FC Bayern München,Bundesliga,CB,Center Back,87,63,38,60,63,87,86,195,94,2/11/1996 12:00:00 AM,2,3,1
EA,239837,68,Alexis Mac Allister,Alexis,Mac Allister,,Men's Football,Argentina,Liverpool,Premier League,CM,Center Midfielder,87,66,82,85,85,78,76,176,72,12/24/1998 12:00:00 AM,3,3,1
EA,215698,70,Mike Maignan,Mike,Maignan,,Men's Football,France,Milano FC,Serie A Enilive,GK,Goalkeeper,87,84,83,85,88,64,84,191,89,7/3/1995 12:00:00 AM,1,4,1
EA,222665,72,Martin Ødegaard,Martin,Ødegaard,,Men's Football,Norway,Arsenal,Premier League,CM,Center Midfielder,87,68,79,88,87,67,65,178,68,12/17/1998 12:00:00 AM,5,2,2
