squad_country,squad_country_code,squad_shirt_number,squad_position,squad_player_name,squad_first_names,squad_last_names,squad_name_on_shirt,squad_date_of_birth,squad_club,squad_height_cm,rating_source,rating_ea_id,rating_rank,rating_player_name,rating_first_name,rating_last_name,rating_common_name,rating_gender,rating_nationality,rating_team,rating_league,rating_position,rating_position_label,rating_overall,rating_pac,rating_sho,rating_pas,rating_dri,rating_def,rating_phy,rating_height_cm,rating_weight_kg,rating_birthdate,rating_skill_moves,rating_weak_foot,rating_preferred_foot_id,rating_player_name_norm,rating_first_last_norm,rating_common_name_norm,rating_match_name_norm,rating_nationality_norm,match_score
Algeria,ALG,2,DF,MANDI Aissa,Aissa,MANDI,MANDI,22/10/1991,Lille OSC (FRA),184,EA,201143,2268,Aïssa Mandi,Aïssa,Mandi,,Men's Football,Algeria,LOSC Lille,Ligue 1 McDonald's,CB,Center Back,75,57,46,71,67,75,73,186,82,10/22/1991 12:00:00 AM,2,3,1,aissa mandi,aissa mandi,,aissa mandi,algeria,100
Algeria,ALG,6,MF,ZERROUKI Ramiz,Ramiz Larbi,ZERROUKI,ZERROUKI,26/05/1998,FC Twente (NED),183,EA,252383,3046,Ramiz Zerrouki,Ramiz,Zerrouki,,Men's Football,Algeria,,Eredivisie,CDM,Center Defensive Midfielder,73,62,66,69,72,68,80,183,76,5/26/1998 12:00:00 AM,3,2,1,ramiz zerrouki,ramiz zerrouki,,ramiz zerrouki,algeria,100
Algeria,ALG,7,FW,MAHREZ Riyad,Riyad Karim,MAHREZ,MAHREZ,21/02/1991,Al Ahli FC (KSA),179,EA,204485,225,Riyad Mahrez,Riyad,Mahrez,,Men's Football,Algeria,Al Ahli,ROSHN Saudi League,RM,Right Midfielder,84,78,80,81,88,39,63,179,67,2/21/1991 12:00:00 AM,5,4,2,riyad mahrez,riyad mahrez,,riyad mahrez,algeria,100
Algeria,ALG,8,MF,AOUAR Houssem,Houssem-Eddine Chaabane,AOUAR,AOUAR,30/06/1998,Al Ittihad (KSA),175,EA,234906,1375,Houssem Aouar,Houssem,Aouar,,Men's Football,Algeria,Al Ittihad,ROSHN Saudi League,CAM,Center Attacking Midfielder,77,66,72,75,82,65,65,175,70,6/30/1998 12:00:00 AM,4,3,1,houssem aouar,houssem aouar,,houssem aouar,algeria,100
Algeria,ALG,9,FW,GOUIRI Amine,Amine Ferid,GHOUIRI,GOUIRI,16/02/2000,Olympique Marseille (FRA),180,EA,240753,842,Amine Gouiri,Amine,Gouiri,,Men's Football,Algeria,OM,Ligue 1 McDonald's,ST,Striker,79,77,82,76,80,45,71,181,80,2/16/2000 12:00:00 AM,4,3,1,amine gouiri,amine gouiri,,amine gouiri,algeria,100
Algeria,ALG,10,MF,CHAIBI Fares,Fares,CHAIBI,CHAIBI,28/11/2002,Eintracht Frankfurt (GER),183,EA,270670,2446,Farès Chaïbi,Farès,Chaïbi,,Men's Football,Algeria,Frankfurt,Bundesliga,CAM,Center Attacking Midfielder,74,69,68,75,76,68,69,183,79,11/28/2002 12:00:00 AM,4,3,1,fares chaibi,fares chaibi,,fares chaibi,algeria,100
Algeria,ALG,11,FW,HADJ MOUSSA Anis,Anis,HADJ MOUSSA,HADJ MOUSSA,11/02/2002,Feyenoord Rotterdam (NED),176,EA,70726,1879,Anis Hadj-Moussa,Anis,Hadj-Moussa,,Men's Football,Algeria,,Eredivisie,RW,Right Wing,76,80,69,67,84,29,52,176,72,2/11/2002 12:00:00 AM,5,3,2,anis hadj moussa,anis hadj moussa,,anis hadj moussa,algeria,100
Algeria,ALG,13,DF,HADJAM Jaouen,Jaouen Djimmy,HADJAM,HADJAM,26/03/2003,BSC Young Boys (SUI),185,EA,258230,6170,Jaouen Hadjam,Jaouen,Hadjam,,Men's Football,Algeria,BSC Young Boys,Brack Super League,LB,Left Back,69,79,54,59,69,65,72,185,83,3/26/2003 12:00:00 AM,3,3,2,jaouen hadjam,jaouen hadjam,,jaouen hadjam,algeria,100
Algeria,ALG,14,MF,BOUDAOUI Hicham,Hicham,BOUDAOUI,BOUDAOUI,23/09/1999,OGC Nice (FRA),175,EA,253157,1290,Hicham Boudaoui,Hicham,Boudaoui,,Men's Football,Algeria,OGC Nice,Ligue 1 McDonald's,CM,Center Midfielder,77,73,67,74,77,74,76,175,61,9/23/1999 12:00:00 AM,3,3,1,hicham boudaoui,hicham boudaoui,,hicham boudaoui,algeria,100
Algeria,ALG,15,DF,AIT-NOURI Rayan,Rayan,AÏT-NOURI,AIT NOURI,06/06/2001,Manchester City FC (ENG),180,EA,242641,499,Rayan Aït-Nouri,Rayan,Aït-Nouri,,Men's Football,Algeria,Manchester City,Premier League,LB,Left Back,81,84,53,76,84,77,70,180,70,6/6/2001 12:00:00 AM,5,3,2,rayan ait nouri,rayan ait nouri,,rayan ait nouri,algeria,100
Algeria,ALG,17,DF,BELGHALI Ra,Ra,BELGHALI,BELGHALI,07/06/2002,Hellas Verona FC (ITA),180,EA,276314,9290,Rafik Belghali,Rafik,Belghali,,Men's Football,Algeria,Hellas Verona,Serie A Enilive,RB,Right Back,66,81,60,61,66,61,62,186,73,6/7/2002 12:00:00 AM,3,2,1,rafik belghali,rafik belghali,,rafik belghali,algeria,88
Algeria,ALG,18,FW,AMOURA Mohamed,Mohammed Elamine,AMOURA,AMOURA,09/05/2000,VfL Wolfsburg (GER),170,EA,264697,646,Mohamed Amoura,Mohamed,Amoura,,Men's Football,Algeria,VfL Wolfsburg,Bundesliga,ST,Striker,80,90,81,71,86,47,61,170,61,5/9/2000 12:00:00 AM,4,3,1,mohamed amoura,mohamed amoura,,mohamed amoura,algeria,100
